,Aportante 20
1989-01-31,19.05379146452873
1989-02-28,18.72368992396764
1989-03-31,15.077147256174442
1989-04-30,12.179195149739598
1989-05-31,9.17828152564266
1989-06-30,8.545555623372422
1989-07-31,6.998615683278729
1989-08-31,7.337846128402248
1989-09-30,9.422088623046875
1989-10-31,12.410986918787842
1989-11-30,15.465465291341161
1989-12-31,17.024537904800923
1990-01-31,18.277250031502035
1990-02-28,17.927981131417425
1990-03-31,14.670833267704154
1990-04-30,11.830289713541674
1990-05-31,8.825146878150235
1990-06-30,7.709108479817758
1990-07-31,6.896596404044885
1990-08-31,9.193380835748485
1990-09-30,9.711178588867199
1990-10-31,11.567243809853835
1990-11-30,13.77943827311202
1990-12-31,16.687162140877035
1991-01-31,17.208328542401716
1991-02-28,17.792180088588168
1991-03-31,15.903505189957173
1991-04-30,12.7166737874349
1991-05-31,10.027168323147691
1991-06-30,7.876700846354197
1991-07-31,6.793247149067554
1991-08-31,7.356701069493454
1991-09-30,9.817731730143237
1991-10-31,11.443653525075604
1991-11-30,14.6104746500651
1991-12-31,14.978059633316548
1992-01-31,19.14182680191533
1992-02-29,16.71930057920258
1992-03-31,16.410228901524704
1992-04-30,10.972738647460972
1992-05-31,8.637039479901716
1992-06-30,6.5528635660807595
1992-07-31,5.531351200226823
1992-08-31,8.13312830771173
1992-09-30,9.85335184733077
1992-10-31,10.864524398311517
1992-11-30,14.949055989583371
1992-12-31,16.135006615423436
1993-01-31,18.428199817288316
1993-02-28,18.778587777274026
1993-03-31,16.73810582314769
1993-04-30,12.28802388509115
1993-05-31,7.913316099105373
1993-06-30,8.642052205403672
1993-07-31,5.683352365801454
1993-08-31,8.22051096270161
1993-09-30,9.083421834309945
1993-10-31,11.90039535030246
1993-11-30,13.550806681315123
1993-12-31,16.205623306766654
1994-01-31,18.44591084141888
1994-02-28,17.09442727225172
1994-03-31,16.22308822139621
1994-04-30,11.939059448242233
1994-05-31,9.515643507434504
1994-06-30,8.865932210286473
1994-07-31,7.31876181325606
1994-08-31,7.094666314894198
1994-09-30,10.769059244791663
1994-10-31,12.164614572832704
1994-11-30,14.69763895670576
1994-12-31,16.950862564579154
1995-01-31,17.763680538054473
1995-02-28,17.16516483851842
1995-03-31,14.712550797001029
1995-04-30,12.597447713216184
1995-05-31,10.094013632497479
1995-06-30,8.092998250325536
1995-07-31,4.761640782510085
1995-08-31,6.455886151713742
1995-09-30,9.491067504882835
1995-10-31,11.484564799647217
1995-11-30,14.86602681477865
1995-12-31,18.92769283171623
1996-01-31,17.69975605626263
1996-02-29,17.02899506667569
1996-03-31,16.115114076675923
1996-04-30,10.806605021158873
1996-05-31,9.264848081527248
1996-06-30,6.475136311848985
1996-07-31,8.20857760521676
1996-08-31,8.552453613281273
1996-09-30,10.278622436523449
1996-10-31,12.111140884891654
1996-11-30,15.116857910156284
1996-12-31,17.227898185483866
1997-01-31,18.52795193579891
1997-02-28,17.045762634277366
1997-03-31,16.93078987367693
1997-04-30,14.034705607096384
1997-05-31,11.117787810294885
1997-06-30,7.934094238281261
1997-07-31,8.028452030304948
1997-08-31,9.079016703944092
1997-09-30,10.288996378580748
1997-10-31,10.729333496093773
1997-11-30,13.802715047200536
1997-12-31,16.634386419480848
1998-01-31,17.842722049836198
1998-02-28,17.82238595145094
1998-03-31,15.392679325226823
1998-04-30,11.903728230794286
1998-05-31,11.07352255544356
1998-06-30,7.7901570638020985
1998-07-31,7.122204983618985
1998-08-31,7.081201171875023
1998-09-30,8.980520629882847
1998-10-31,13.457391357421898
1998-11-30,14.772220865885458
1998-12-31,17.678514837449598
1999-01-31,19.064133970199123
1999-02-28,18.29756862095428
1999-03-31,14.665074305380585
1999-04-30,12.34869283040365
1999-05-31,10.021535368888635
1999-06-30,7.824734497070324
1999-07-31,6.1415275327620975
1999-08-31,8.879289983933973
1999-09-30,9.820725504557288
1999-10-31,12.81334543535786
1999-11-30,15.532818603515636
1999-12-31,17.203647539692554
2000-01-31,17.96642259167089
2000-02-29,16.615746017982246
2000-03-31,14.310590977822585
2000-04-30,12.297795613606809
2000-05-31,9.275682806199598
2000-06-30,8.120296223958348
2000-07-31,5.754206306703679
2000-08-31,8.031317729334717
2000-09-30,9.02288818359375
2000-10-31,12.281590418661835
2000-11-30,14.083586629231775
2000-12-31,16.926270318800448
2001-01-31,17.16092489919356
2001-02-28,17.608360726492776
2001-03-31,15.513659864856379
2001-04-30,11.427861531575559
2001-05-31,9.482976901146685
2001-06-30,7.234002685546898
2001-07-31,7.868724010836729
2001-08-31,8.739113887663848
2001-09-30,9.3487548828125
2001-10-31,12.834265727381592
2001-11-30,13.496980794270883
2001-12-31,19.212851050592235
2002-01-31,19.014443477507598
2002-02-28,18.471676853724887
2002-03-31,14.135286195816548
2002-04-30,10.819948323567758
2002-05-31,8.935498440650235
2002-06-30,5.734177652994788
2002-07-31,6.992969931325604
2002-08-31,8.69202132686496
2002-09-30,9.094441731770871
2002-10-31,11.170525138608866
2002-11-30,13.055940755208383
2002-12-31,16.783964883127567
2003-01-31,18.55919898248493
2003-02-28,17.06868678501678
2003-03-31,16.80458885931199
2003-04-30,12.136646525065146
2003-05-31,8.98257131268906
2003-06-30,9.542449951171875
2003-07-31,6.257453967678941
2003-08-31,8.041762616557492
2003-09-30,9.954335530598996
2003-10-31,12.30433192099298
2003-11-30,14.697093709309911
2003-12-31,15.325127189390116
2004-01-31,19.68426297095516
2004-02-29,18.62034680596713
2004-03-31,16.452605019846317
2004-04-30,12.083401489257824
2004-05-31,9.675691469254048
2004-06-30,7.972902425130258
2004-07-31,7.732187381867448
2004-08-31,8.804138971144198
2004-09-30,9.876687622070335
2004-10-31,11.267541503906273
2004-11-30,13.848627726236998
2004-12-31,16.783807373046898
2005-01-31,17.61939835086946
2005-02-28,19.246626063755627
2005-03-31,15.251576872794885
2005-04-30,12.0347880045573
2005-05-31,8.158227539062523
2005-06-30,8.271185302734409
2005-07-31,7.963024311680954
2005-08-31,8.588292078818085
2005-09-30,9.46040649414067
2005-10-31,11.75100392987656
2005-11-30,15.153681437174498
2005-12-31,16.47805471112656
2006-01-31,18.38314110540574
2006-02-28,19.070155988420765
2006-03-31,14.825745416456698
2006-04-30,12.195302327473996
2006-05-31,9.717493660219304
2006-06-30,8.936903889973962
2006-07-31,8.209718568863423
2006-08-31,8.55234335622481
2006-09-30,9.637843831380223
2006-10-31,11.288859508883604
2006-11-30,14.230690511067735
2006-12-31,16.08159593151464
2007-01-31,18.40972093151464
2007-02-28,16.41238119942801
2007-03-31,15.531116903981854
2007-04-30,11.508295694986998
2007-05-31,8.169899036038316
2007-06-30,5.359486897786496
2007-07-31,5.081634324596791
2007-08-31,5.092716143208179
2007-09-30,8.884110514322913
2007-10-31,11.26137301537301
2007-11-30,14.17475280761721
2007-12-31,16.82044224892894
2008-01-31,19.542267633253573
2008-02-29,19.852602412782915
2008-03-31,16.102378402217767
2008-04-30,11.89882100423182
2008-05-31,9.161737060546898
2008-06-30,6.904571533203125
2008-07-31,7.852348869077616
2008-08-31,7.51108359059981
2008-09-30,10.429614257812545
2008-10-31,12.126974585748485
2008-11-30,16.187430826822947
2008-12-31,18.64311838457661
2009-01-31,19.64451234879033
2009-02-28,17.89904610770094
2009-03-31,16.895618857106854
2009-04-30,13.949187215169275
2009-05-31,10.25982449439266
2009-06-30,7.382731119791686
2009-07-31,6.240787432270679
2009-08-31,8.343326494770679
2009-09-30,8.576736450195312
2009-10-31,11.517782691217235
2009-11-30,11.65485331217451
2009-12-31,16.14668106571321
2010-01-31,18.253851909022217
2010-02-28,16.62631160191131
2010-03-31,16.548223483177935
2010-04-30,11.567232259114633
2010-05-31,9.233913101688529
2010-06-30,7.914789835611998
2010-07-31,5.1530326597152225
2010-08-31,7.546674962197585
2010-09-30,9.36873168945317
2010-10-31,11.706085008190541
2010-11-30,14.233252970377634
2010-12-31,15.639939634261623
2011-01-31,18.245155383694566
2011-02-28,17.81502467564178
2011-03-31,14.84997046685993
2011-04-30,11.830122884114587
2011-05-31,9.409000322895679
2011-06-30,7.2336079915364735
2011-07-31,5.623390246975816
2011-08-31,7.547305002520204
2011-09-30,9.794773356119833
2011-10-31,11.449340623424916
2011-11-30,14.387319946289097
2011-12-31,18.581094852570573
2012-01-31,19.331430545929948
2012-02-29,17.93636579842405
2012-03-31,16.573433956023223
2012-04-30,12.433636474609386
2012-05-31,10.604289196383604
2012-06-30,8.924990844726608
2012-07-31,5.798067941973329
2012-08-31,7.709681160219304
2012-09-30,10.786062622070347
2012-10-31,11.419115423387098
2012-11-30,14.777976481119822
2012-12-31,14.834212567729367
2013-01-31,19.63465123330394
2013-02-28,18.037879289899593
2013-03-31,15.14705416771676
2013-04-30,12.793778483072913
2013-05-31,9.379982043850816
2013-06-30,7.711020914713572
2013-07-31,7.47861977854086
2013-08-31,7.581159825478835
2013-09-30,9.098708089192712
2013-10-31,12.106692209551454
2013-11-30,14.344681803385413
2013-12-31,18.14263010332661
2014-01-31,18.817395413306485
2014-02-28,17.2372767857143
2014-03-31,15.073799182522691
2014-04-30,10.994467163085972
2014-05-31,10.30493636592746
2014-06-30,7.1520568847656705
2014-07-31,7.105256898941548
2014-08-31,9.277474483366973
2014-09-30,9.97724304199221
2014-10-31,13.073190799836198
2014-11-30,14.233827718099008
2014-12-31,16.915434609690067
2015-01-31,19.15589442099298
2015-02-28,18.608132934570335
2015-03-31,17.581773130355373
2015-04-30,13.480765787760447
2015-05-31,9.547441839402723
2015-06-30,7.811991373697936
2015-07-31,7.484306876890116
2015-08-31,8.97762746503281
2015-09-30,9.534818522135424
2015-10-31,11.163245219569092
2015-11-30,14.179587809244822
2015-12-31,17.52357413999499
2016-01-31,19.856141908707173
2016-02-29,19.059466342268365
2016-03-31,17.044849814138104
2016-04-30,12.245597330729197
2016-05-31,11.263211945564535
2016-06-30,7.23512471516932
2016-07-31,7.985325770224335
2016-08-31,9.422148476877567
2016-09-30,12.12646484375
2016-10-31,12.739417094569092
2016-11-30,16.103378295898438
2016-12-31,17.291881733555954
2017-01-31,20.325910802041335
2017-02-28,19.280695669991644
2017-03-31,15.694957905430954
2017-04-30,12.661566162109409
2017-05-31,8.886620109311991
2017-06-30,6.930528767903695
2017-07-31,6.266485201927935
2017-08-31,7.189889034148223
2017-09-30,9.224210611979174
2017-10-31,10.93778725900961
2017-11-30,14.456337483723985
2017-12-31,17.878757402973804
2018-01-31,18.776132694367448
2018-02-28,18.975394548688655
2018-03-31,15.345031541393666
2018-04-30,11.945465087890625
2018-05-31,9.541222160093241
2018-06-30,6.4207305908203125
2018-07-31,6.784602798954154
2018-08-31,7.803644783266179
2018-09-30,10.26702982584635
2018-10-31,11.402634946761623
2018-11-30,14.578028361002623
2018-12-31,17.32772118353074
2019-01-31,18.240940020161304
2019-02-28,19.266242327008968
2019-03-31,15.666154233870998
2019-04-30,12.668490600585983
2019-05-31,9.913429309475816
2019-06-30,7.657309977213572
2019-07-31,7.337501575100816
2019-08-31,8.486884135584717
2019-09-30,9.541662597656284
2019-10-31,11.592150091355848
2019-11-30,15.624364217122434
2019-12-31,17.892950045677935
2020-01-31,19.622470781880054
2020-02-29,18.727823402141723
2020-03-31,17.320466859879048
2020-04-30,13.707620239257835
2020-05-31,10.638782919606854
2020-06-30,7.416110229492233
2020-07-31,6.560194905598962
