Sources and Destinations,Evaporation,Inflow from AC_01,Inflow from AC_02,Inflow from AC_03,Inflow from AC_04,Inflow from AC_05,Inflow from AC_06,Inflow from AC_07,Inflow from AC_08,Inflow from AC_09,Inflow from AC_10,Inflow from AC_11,Inflow from AC_12,Inflow from AC_13,Inflow from AC_14,Inflow from AC_15,Inflow from AC_16,Inflow from AC_17,Inflow from Upstream,Outflow to AC_01,Outflow to AC_02,Outflow to AC_03,Outflow to AC_04,Outflow to AC_05,Outflow to AC_06,Outflow to AC_07,Outflow to AC_08,Outflow to AC_09,Outflow to AC_10,Outflow to AC_11,Outflow to AC_12,Outflow to AC_13,Outflow to AC_14,Outflow to AC_15,Outflow to AC_16,Outflow to AC_17,Outflow to Downstream,Surface Water Inflow
jul-95,-4.97338,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,195.045,-0.0271691,-0.00254563,-0.0303556,-0.0134989,-1.20758,-0.000723253,0,-0.0184804,-0.470946,-0.0260585,-0.262417,-0.496905,-0.593135,-0.493069,-0.345976,-0.0810657,-0.848053,-194.9,9.74587
ago-95,-3.97576,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,173.923,-0.0284441,-0.00178696,-0.0343028,-0.0119132,-1.22352,-0.000920796,-0.00332262,-0.0169391,-0.467166,-0.0234324,-0.262508,-0.498553,-0.495891,-0.361624,-0.333593,-0.0834722,-0.84412,-174.272,9.01649
sept-95,-3.24178,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,225.298,-0.0517152,-0.0559495,-0.0768284,-0.0334799,-1.26503,-0.00259264,-0.0128674,-0.0409171,-0.478437,-0.0403241,-0.262724,-0.508183,-0.848183,-0.58486,-0.288015,-0.0785053,-0.837762,-226.294,9.704
oct-95,-2.21396,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,257.151,-0.0828413,-0.145893,-0.138851,-0.0579459,-1.33971,-0.00534921,-0.0341783,-0.0769947,-0.480961,-0.054576,-0.263265,-0.52995,-0.779718,-0.659854,-0.337713,-0.0780413,-0.834859,-259.446,10.4095
nov-95,-1.68099,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,300.885,-0.110486,-0.256833,-0.20548,-0.0869367,-1.42216,-0.00696299,-0.0615873,-0.121139,-0.483538,-0.0718988,-0.26405,-0.558282,-0.894154,-0.681131,-0.335723,-0.0810142,-0.839139,-304.69,11.9658
dic-95,-0.518605,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,166.763,-0.0766823,-0.228943,-0.139458,-0.0534615,-0.908583,-0.00742486,-0.0430988,-0.0786638,-0.396679,-0.0465471,-0.140641,-0.377419,-0.493482,-0.419045,-0.262867,-0.0769172,-0.833202,-169.772,8.11046
ene-96,-0.00840471,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,125.578,-0.061566,-0.19725,-0.112399,-0.0431438,-0.767537,-0.00667071,-0.0324943,-0.0618807,-0.300587,-0.0344789,-0.104217,-0.29448,-0.390238,-0.294278,-0.13369,-0.055151,-0.672986,-127.92,5.91312
feb-96,-0.00713477,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,101.856,-0.0478771,-0.164203,-0.105156,-0.0369513,-0.795783,-0.00633479,-0.0255146,-0.053337,-0.231466,-0.0278042,-0.07143,-0.262152,-0.355635,-0.261519,-0.110619,-0.0269556,-0.359401,-103.817,4.91041
mar-96,-0.00839624,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96.8791,-0.0393577,-0.13303,-0.0975498,-0.0342451,-0.80079,-0.00509312,-0.0212367,-0.0488507,-0.194464,-0.0248231,-0.054429,-0.242008,-0.332453,-0.239126,-0.0997563,-0.0152849,-0.296206,-98.6231,4.43107
abr-96,-0.844021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,105.274,-0.0278588,-0.0684093,-0.0705276,-0.0229189,-1.18149,-0.00260243,-0.0129133,-0.0317846,-0.461478,-0.0167809,-0.26266,-0.176,-0.275904,-0.147456,-0.0671315,-0.0516287,-0.745165,-106.385,5.57768
may-96,-0.91515,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100.737,-0.0243478,-0.0330849,-0.0432917,-0.0124978,-1.13727,-0.00163254,-0.00690094,-0.0194428,-0.460432,-0.018242,-0.262568,-0.179936,-0.154389,-0.105427,-0.0338544,-0.0522935,-0.738761,-101.463,4.92551
jun-96,-1.48161,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99.2987,-0.0184899,-0.00175148,-0.0207159,-0.00387256,-1.19949,-0.000520064,0,-0.00803567,-0.460557,-0.0152985,-0.262417,-0.4952,-0.0744765,-0.018799,-0.00816996,-0.0520776,-0.742576,-99.3716,4.93696
jul-96,-3.45594,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,124.406,-0.0183865,-0.00290149,-0.0220249,-0.00560801,-1.20022,-0.000867016,0,-0.0115321,-0.464372,-0.0194669,-0.262417,-0.4952,-0.369411,-0.244219,-0.322787,-0.0730448,-0.83858,-123.843,7.24334
ago-96,-3.50273,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,210.81,-0.0215886,-0.003287,-0.0290695,-0.0240503,-0.150208,-0.00126855,-0.0016975,-0.0289983,-0.481324,-0.0366481,-0.262465,-0.497006,-0.960359,-0.634792,-0.248429,-0.0778542,-0.8389,-211.002,7.99282
sept-96,-1.76768,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,154.109,-0.0411872,-0.036632,-0.0754061,-0.0311146,-0.579347,-0.00286605,-0.0191648,-0.039096,-0.428999,-0.0217731,-0.0594227,-0.208762,-0.274151,-0.33785,-0.34752,-0.0794748,-0.836459,-155.405,6.48291
oct-96,-0.34496,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,162.379,-0.0656862,-0.138424,-0.117423,-0.0472649,-0.787142,-0.00477361,-0.0323941,-0.0626248,-0.291792,-0.0374013,-0.101443,-0.316847,-0.42784,-0.328689,-0.0971501,-0.0737107,-0.831065,-164.556,6.28417
nov-96,-0.00471607,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,106.381,-0.055128,-0.160691,-0.092111,-0.0366243,-0.602451,-0.00459508,-0.0292724,-0.0522122,-0.26808,-0.0302126,-0.0958133,-0.258387,-0.335572,-0.255556,-0.115918,-0.0530258,-0.565851,-108.366,5.00043
dic-96,-0.00189584,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70.2981,-0.0396417,-0.159005,-0.0686663,-0.026057,-0.448585,-0.00544006,-0.0212914,-0.0377791,-0.194993,-0.0207768,-0.069539,-0.186604,-0.243993,-0.183168,-0.0764129,-0.0396104,-0.337509,-71.7809,3.64383
ene-97,-0.00139018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62.6645,-0.0322846,-0.144562,-0.0573015,-0.0221273,-0.388526,-0.00552779,-0.0164556,-0.0314252,-0.152186,-0.0173765,-0.0527155,-0.148947,-0.197375,-0.145149,-0.0544575,-0.024627,-0.225101,-63.8539,2.90691
feb-97,-0.00189368,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51.8754,-0.0255531,-0.115526,-0.0533753,-0.018836,-0.402018,-0.00510806,-0.0128863,-0.0268246,-0.116761,-0.0139069,-0.0360949,-0.132378,-0.17958,-0.130946,-0.0511006,-0.011832,-0.157892,-52.9048,2.52193
mar-97,-0.00852729,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61.835,-0.0230827,-0.0859921,-0.0538243,-0.0198822,-0.447244,-0.003753,-0.0117376,-0.027508,-0.107748,-0.0135989,-0.0309491,-0.137616,-0.189049,-0.139202,-0.0712704,-0.0154907,-0.296154,-62.9116,2.75922
abr-97,-0.00402121,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53.9162,-0.0220716,-0.0691409,-0.0530343,-0.0182148,-0.475901,-0.00193524,-0.0112602,-0.0252919,-0.102516,-0.0134862,-0.0280354,-0.142576,-0.193824,-0.137754,-0.057049,-0.00904381,-0.170742,-54.8782,2.49782
may-97,-2.38875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72.7034,-0.0142563,-0.00136637,-0.0162855,-0.0030528,-0.992178,-0.000415829,0,-0.00489579,-0.39591,-0.00532168,-0.262417,-0.115715,-0.0746075,-0.04845,-0.20591,-0.0687503,-0.837666,-72.2748,5.00732
jun-97,-59.1081,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4005.41,-0.0670413,-0.0475351,-0.480611,-0.301379,-0.814827,-0.031317,-0.1335,-0.49869,-0.786638,-0.376622,-0.269492,-0.5992,-1.23381,-1.26188,-0.78322,-0.579238,-1.36111,-4001.39,64.7044
jul-97,-14.6129,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,538.21,-0.0484463,-0.00100397,-0.312191,-0.129271,-0.585325,-0.0121124,-0.1335,-0.214388,-0.481124,-0.0836957,-0.269492,-0.5992,-1.10782,-0.844125,-0.357507,-0.15022,-0.914251,-538.188,20.8349
ago-97,-50.5197,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3050.03,-0.164098,-0.0334411,-0.455511,-0.260806,-1.82665,-0.0234556,-0.1335,-0.39854,-0.672444,-0.268939,-0.269492,-0.5992,-1.16216,-1.10999,-0.627011,-0.498173,-1.26976,-3047.79,58.0552
sept-97,-43.957,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2983.18,-0.186044,-0.0333437,-0.481832,-0.302895,-0.761367,-0.0206212,-0.1335,-0.396929,-0.661847,-0.272214,-0.269492,-0.5992,-1.08297,-1.06721,-0.578513,-0.464866,-1.21971,-2983.99,53.2966
oct-97,-46.4511,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3115.18,-0.280412,-0.48267,-0.516412,-0.320368,-1.85497,-0.0208855,-0.1335,-0.409631,-0.67467,-0.27156,-0.269492,-0.5992,-1.10956,-1.06481,-0.576329,-0.475582,-1.23451,-3116.25,57.8169
nov-97,-80.2491,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6947.68,-0.580703,-0.496698,-0.83146,-0.648342,-2.185,-0.024518,-0.1335,-0.7397,-1.00194,-0.607492,-0.269492,-0.5992,-1.03042,-1.40417,-0.91356,-0.860265,-1.6111,-6951.45,97.9533
dic-97,-137.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10911.9,-0.835857,-0.515926,-1.10477,-0.928098,-2.45882,-0.0296174,-0.1335,-1.01587,-1.27557,-0.880239,-0.269492,-0.5992,-1.03099,-1.68326,-1.19035,-1.45521,-2.19774,-10916.3,159.423
ene-98,-88.5945,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7512.53,-0.606736,-0.501108,-0.865699,-0.683623,-2.21766,-0.0256877,-0.1335,-0.773238,-1.03531,-0.648289,-0.269492,-0.5992,-1.03067,-1.44017,-0.949651,-0.956138,-1.70351,-7516.85,107.35
feb-98,-31.5756,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2517.98,-0.248288,-0.471153,-0.478605,-0.287478,-1.82322,-0.0177413,-0.1335,-0.374849,-0.640552,-0.252618,-0.269492,-0.5992,-1.02931,-1.02448,-0.537538,-0.362259,-1.11554,-2521.35,44.615
mar-98,-13.8113,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,757.489,-0.11782,-0.467641,-0.34234,-0.146704,-1.68066,-0.0168124,-0.1335,-0.23275,-0.499608,-0.103376,-0.269492,-0.5992,-1.02849,-0.869506,-0.383469,-0.167561,-0.923077,-759.838,24.1427
abr-98,-16.026,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,838.042,-0.142611,-0.452244,-0.351151,-0.157173,-1.69221,-0.012745,-0.1335,-0.240221,-0.506792,-0.111756,-0.269492,-0.5992,-1.07727,-0.872768,-0.38604,-0.170397,-0.927888,-839.125,25.2132
may-98,-13.009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,506.169,-0.116786,-0.448684,-0.322631,-0.127909,-1.66589,-0.01181,-0.1335,-0.213179,-0.479872,-0.086092,-0.269492,-0.5992,-1.05975,-0.845806,-0.358974,-0.133903,-0.891793,-506.825,21.4297
jun-98,-13.2072,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,433.618,-0.102634,-0.452708,-0.312817,-0.117984,-1.65775,-0.0129093,-0.1335,-0.206289,-0.473037,-0.0803726,-0.269492,-0.5992,-1.10719,-0.843041,-0.356102,-0.128726,-0.887285,-433.776,21.1062
jul-98,-11.5411,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,502.36,-0.0455545,-0.00922036,-0.320767,-0.128694,-1.66909,-0.0142251,-0.1335,-0.218647,-0.485226,-0.0918892,-0.269492,-0.5992,-1.02785,-0.849754,-0.362854,-0.128663,-0.885078,-502.871,19.2925
ago-98,-8.29548,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,308.107,-0.0923054,-0.390966,-0.206005,-0.0289821,-1.63141,-0.00353977,-0.1335,-0.202597,-0.469407,-0.0769318,-0.269492,-0.506886,-1.02802,-0.83439,-0.347841,-0.106566,-0.863163,-308.974,16.3546
sept-98,-6.85172,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,265.502,-0.0886877,-0.393879,-0.214091,-0.0348481,-1.63056,-0.00421274,-0.1335,-0.200905,-0.467878,-0.073496,-0.269492,-0.512734,-1.05895,-0.834634,-0.348285,-0.0936686,-0.851885,-266.808,15.3693
oct-98,-5.98413,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,287.663,-0.097468,-0.404392,-0.311624,-0.116645,-1.63653,-0.00658225,-0.1335,-0.203764,-0.470934,-0.0753397,-0.269492,-0.58093,-1.0291,-0.834885,-0.349168,-0.0905206,-0.84715,-289.93,15.7088
nov-98,-3.58174,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,255.179,-0.086624,-0.385439,-0.261123,-0.0692916,-1.63477,-0.00845064,-0.0615873,-0.1466,-0.469807,-0.0739488,-0.26405,-0.565637,-1.03047,-0.836321,-0.351435,-0.0910167,-0.847586,-258.913,14.4995
dic-98,-1.13002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,191.319,-0.0820696,-0.302085,-0.19849,-0.0715843,-1.3684,-0.0100905,-0.0651495,-0.114369,-0.468097,-0.0622037,-0.212735,-0.560628,-0.746437,-0.625689,-0.336147,-0.081082,-0.837325,-195.386,11.3395
ene-99,-0.431617,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,156.949,-0.0749309,-0.245835,-0.151867,-0.0562033,-1.07682,-0.00894087,-0.0457742,-0.0841423,-0.416167,-0.0467266,-0.146823,-0.414894,-0.549774,-0.417832,-0.199132,-0.0769758,-0.83314,-160.149,8.47749
feb-99,-0.0520837,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,120.926,-0.0574565,-0.207806,-0.139697,-0.0471368,-1.09167,-0.00822297,-0.0351154,-0.0706609,-0.31587,-0.0358312,-0.0983187,-0.36084,-0.48952,-0.361123,-0.15655,-0.05342,-0.686908,-123.627,6.96905
mar-99,-0.123092,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,132.858,-0.0451732,-0.161626,-0.126194,-0.0453994,-1.07513,-0.00694745,-0.0282629,-0.0663064,-0.300191,-0.0333393,-0.074516,-0.331585,-0.470365,-0.328194,-0.13708,-0.0511356,-0.62285,-135.268,6.43651
abr-99,-1.01705,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,132.334,-0.0336527,-0.089089,-0.0842668,-0.0290022,-1.28337,-0.00408977,-0.0150124,-0.0406039,-0.465642,-0.0257121,-0.262705,-0.511138,-0.300941,-0.205296,-0.0774107,-0.0525762,-0.751075,-133.686,6.60112
may-99,-2.29965,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,147.906,-0.0258697,-0.0254974,-0.0457102,-0.0185388,-1.23573,-0.0028536,-0.00446326,-0.0248219,-0.470698,-0.0279381,-0.262492,-0.500518,-0.714723,-0.492737,-0.0809211,-0.0688415,-0.803807,-148.406,7.60662
jun-99,-4.57417,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,199.239,-0.0254112,-0.00808046,-0.0339465,-0.0175277,-1.21118,-0.00221838,0,-0.0235889,-0.476129,-0.0319152,-0.262417,-0.4952,-0.899032,-0.694583,-0.339371,-0.077455,-0.840476,-199.035,9.80827
jul-99,-4.91054,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,254.31,-0.0252054,-0.00740208,-0.0476293,-0.0353514,-0.435213,-0.00237923,-0.00543622,-0.0357681,-0.481145,-0.0387459,-0.262567,-0.502318,-1.04194,-0.832342,-0.340681,-0.0862133,-0.845739,-254.733,10.3594
ago-99,-7.28135,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,285.725,-0.0260302,-0.0066714,-0.0335973,-0.017746,-1.21238,-0.00189554,0,-0.0246965,-0.477568,-0.0254467,-0.262417,-0.498936,-0.761799,-0.610984,-0.355546,-0.101716,-0.868667,-285.1,11.942
sept-99,-12.7876,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,634.711,-0.0598115,-0.0100347,-0.338258,-0.155659,-0.606741,-0.0145789,-0.1335,-0.238366,-0.505187,-0.0970565,-0.269492,-0.5992,-1.10975,-0.852115,-0.366264,-0.131049,-0.89507,-634.453,18.9124
oct-99,-19.0804,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1641.22,-0.154022,-0.0104217,-0.425708,-0.246158,-0.699845,-0.0145631,-0.1335,-0.330089,-0.595966,-0.191775,-0.269492,-0.5992,-1.05152,-0.943323,-0.456464,-0.218924,-0.978539,-1642.81,27.9874
nov-99,-16.8053,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1628.09,-0.231758,-0.455019,-0.440723,-0.24413,-1.77933,-0.0134653,-0.1335,-0.327146,-0.593512,-0.189344,-0.269492,-0.5992,-1.03042,-0.937547,-0.451582,-0.214766,-0.970215,-1631.77,29.3695
dic-99,-4.22687,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,454.112,-0.127735,-0.452279,-0.337244,-0.139094,-1.67454,-0.0127386,-0.1335,-0.222723,-0.490352,-0.0948126,-0.269492,-0.5992,-1.03099,-0.840551,-0.356066,-0.0962655,-0.852384,-458.514,16.3588
ene-00,-1.19874,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,219.295,-0.0943569,-0.317943,-0.225788,-0.0809378,-1.45685,-0.00882519,-0.0694917,-0.124902,-0.468846,-0.0700144,-0.264134,-0.563152,-0.843753,-0.662132,-0.335913,-0.0818974,-0.838013,-223.611,12.0221
feb-00,-0.601964,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,176.81,-0.0731705,-0.21767,-0.160619,-0.0572375,-1.24039,-0.0070855,-0.0397716,-0.0828031,-0.35942,-0.0464201,-0.111325,-0.408581,-0.554272,-0.443581,-0.203712,-0.0770127,-0.833146,-179.815,8.52368
mar-00,-0.24211,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,141.335,-0.0554378,-0.164999,-0.13322,-0.0472119,-1.13239,-0.00536832,-0.0290754,-0.0668712,-0.451987,-0.033067,-0.074516,-0.331585,-0.455539,-0.327994,-0.136882,-0.0526854,-0.746887,-143.686,6.83938
abr-00,-2.12464,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,162.146,-0.0536202,-0.195283,-0.14346,-0.0581311,-0.715789,-0.00543103,-0.057405,-0.0915559,-0.206488,-0.0383325,-0.115882,-0.257656,-0.453861,-0.359502,-0.15082,-0.0367357,-0.36128,-163.39,6.66969
may-00,-4.58657,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,158.662,-0.04949,-0.194312,-0.139232,-0.0544451,-0.713751,-0.000358808,-0.057405,-0.0899449,-0.204701,-0.0342574,-0.115882,-0.250899,-0.476232,-0.357814,-0.148869,-0.0417387,-0.372361,-158.803,8.02976
jun-00,-15.9819,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,707.673,-0.0332178,-0.00739489,-0.177504,-0.0838135,-0.858673,-0.00680149,-0.06675,-0.134434,-0.269678,-0.0717356,-0.134746,-0.2996,-0.557115,-0.462607,-0.227677,-0.137814,-0.540184,-704.89,17.2682
jul-00,-9.53529,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,583.478,-0.0451085,-0.00528839,-0.182202,-0.0917083,-0.32167,-0.00710137,-0.06675,-0.137255,-0.270676,-0.0753221,-0.134746,-0.2996,-0.553751,-0.452954,-0.210005,-0.099218,-0.479434,-585.738,15.2275
ago-00,-6.86228,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,406.521,-0.0557486,-0.00788993,-0.325717,-0.12565,-0.573383,-0.00316139,-0.1335,-0.225299,-0.491883,-0.0796124,-0.269492,-0.506886,-1.05706,-0.831732,-0.333915,-0.0977191,-0.853389,-407.73,14.0425
sept-00,-19.561,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,943.112,-0.127636,-0.459609,-0.359886,-0.159097,-1.70585,-0.0139088,-0.1335,-0.255354,-0.522097,-0.116711,-0.269492,-0.5992,-1.10782,-0.884535,-0.399015,-0.184697,-0.949589,-944.558,29.2557
oct-00,-38.7171,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3453.91,-0.260982,-0.0320357,-0.556874,-0.384306,-0.842039,-0.017226,-0.1335,-0.47346,-0.737936,-0.343417,-0.269492,-0.5992,-1.08524,-1.1136,-0.625071,-0.427285,-1.18083,-3456.19,50.0747
nov-00,-38.4849,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3689.87,-0.38027,-0.471606,-0.605261,-0.41313,-1.94737,-0.0162946,-0.1335,-0.496314,-0.760995,-0.357633,-0.269492,-0.5992,-1.10659,-1.12418,-0.636418,-0.436738,-1.18985,-3693.83,53.3897
dic-00,-34.2907,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3318.92,-0.333583,-0.47832,-0.568279,-0.378997,-1.91334,-0.015471,-0.1335,-0.461842,-0.72708,-0.33246,-0.269492,-0.5992,-1.1081,-1.09197,-0.604968,-0.403035,-1.15606,-3323.78,49.7266
ene-01,-10.631,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,965.202,-0.158403,-0.454572,-0.370636,-0.176896,-1.71162,-0.0132705,-0.1335,-0.259968,-0.527172,-0.134028,-0.269492,-0.5992,-1.10779,-0.886736,-0.401751,-0.160674,-0.916001,-969.583,23.2944
feb-01,-4.06193,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,302.315,-0.108297,-0.412554,-0.317094,-0.0823075,-1.64402,-0.00779153,-0.1335,-0.205487,-0.472905,-0.0762674,-0.269492,-0.54101,-1.1052,-0.829974,-0.335014,-0.0900116,-0.84602,-305.672,14.8957
mar-01,-3.7552,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,249.81,-0.0968226,-0.340475,-0.208653,-0.0560957,-1.63412,-0.00552065,-0.0278566,-0.074206,-0.473842,-0.0506215,-0.262928,-0.523753,-1.0748,-0.791324,-0.334254,-0.0845649,-0.840911,-252.165,12.9904
abr-01,-7.91718,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,542.838,-0.0638037,-0.181917,-0.148311,-0.0725027,-0.690471,-0.00524386,-0.0534,-0.109692,-0.216349,-0.065935,-0.107797,-0.23968,-0.44306,-0.376744,-0.182395,-0.0925214,-0.397444,-544.167,12.6944
may-01,-6.39835,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,237.03,-0.073154,-0.272352,-0.199104,-0.0805846,-0.990165,-0.000599626,-0.0801,-0.128708,-0.288946,-0.0462978,-0.161695,-0.34632,-0.665026,-0.498912,-0.207495,-0.0582733,-0.518673,-236.911,10.8961
jun-01,-5.45204,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,271.35,-0.0388545,-0.00194399,-0.152132,-0.0313722,-1.63334,-0.0010755,-0.00464783,-0.0343081,-0.479885,-0.0406522,-0.262518,-0.501279,-1.0579,-0.747276,-0.333669,-0.0903167,-0.846252,-271.809,12.1679
jul-01,-18.8163,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,708.065,-0.103857,-0.456376,-0.332543,-0.132785,-1.68094,-0.0134401,-0.1335,-0.231176,-0.499488,-0.0957395,-0.269492,-0.5992,-1.11088,-0.864931,-0.385655,-0.155852,-0.940947,-712.307,31.0651
ago-01,-21.4061,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1279.52,-0.0857987,-0.0137682,-0.366468,-0.19116,-0.651625,-0.0147501,-0.1335,-0.282967,-0.549373,-0.157663,-0.269492,-0.5992,-1.10692,-0.916387,-0.430051,-0.217487,-0.982148,-1280.4,29.2518
sept-01,-17.8238,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1274.8,-0.112766,-0.0121009,-0.386833,-0.205829,-0.660282,-0.0149641,-0.1335,-0.291245,-0.55724,-0.154882,-0.269492,-0.5992,-1.07348,-0.912873,-0.425716,-0.1986,-0.956264,-1276.5,26.4873
oct-01,-29.4781,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2681.31,-0.304959,-0.472106,-0.529347,-0.33431,-1.86816,-0.0163277,-0.1335,-0.417933,-0.682906,-0.277635,-0.269492,-0.5992,-1.0765,-1.03497,-0.547163,-0.31902,-1.07504,-2683.84,41.9625
nov-01,-39.3276,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3976.53,-0.402996,-0.470371,-0.629409,-0.442007,-1.97917,-0.0169318,-0.1335,-0.528418,-0.792778,-0.399487,-0.269492,-0.5992,-1.10659,-1.1549,-0.666824,-0.445263,-1.19836,-3980.4,54.4355
