Yr,Mon,EST. SAN VICENTE A
1971,1,161.92894736842106
1971,2,127.39924812030073
1971,3,102.9377819548872
1971,4,61.557330827067666
1971,5,33.41823308270678
1971,6,19.566729323308266
1971,7,26.793984962406014
1971,8,37.724436090225566
1971,9,62.275375939849624
1971,10,102.0468045112782
1971,11,130.66785714285712
1971,12,154.1266917293233
1972,1,177.5701127819549
1972,2,127.878007518797
1972,3,99.83646616541353
1972,4,64.86879699248121
1972,5,34.17857142857142
1972,6,23.371240601503757
1972,7,24.825187969924812
1972,8,39.250187969924816
1972,9,54.957518796992474
1972,10,83.95789473684209
1972,11,118.8674812030075
1972,12,156.84266917293232
1973,1,173.46015037593983
1973,2,131.15037593984962
1973,3,103.56936090225564
1973,4,58.03721804511279
1973,5,34.55093984962405
1973,6,20.83327067669173
1973,7,22.10827067669173
1973,8,36.4156015037594
1973,9,62.36503759398495
1973,10,86.31748120300753
1973,11,121.49248120300751
1973,12,163.61729323308273
1974,1,171.10413533834588
1974,2,124.25827067669172
1974,3,104.77725563909772
1974,4,58.444360902255646
1974,5,40.091917293233074
1974,6,21.859962406015036
1974,7,22.405639097744363
1974,8,36.54906015037594
1974,9,63.78289473684211
1974,10,91.88665413533835
1974,11,125.20187969924812
1974,12,153.55357142857142
1975,1,171.0563909774436
1975,2,124.4571428571429
1975,3,96.5956766917293
1975,4,66.35018796992482
1975,5,31.140413533834586
1975,6,21.231954887218045
1975,7,24.335902255639095
1975,8,35.13402255639098
1975,9,59.87387218045114
1975,10,94.93176691729325
1975,11,121.19680451127816
1975,12,151.43007518796992
1976,1,167.33627819548872
1976,2,119.69962406015037
1976,3,99.79530075187968
1976,4,57.37424812030076
1976,5,32.20075187969925
1976,6,18.343796992481206
1976,7,23.92518796992481
1976,8,35.87048872180451
1976,9,59.43045112781955
1976,10,98.39793233082708
1976,11,122.45432330827066
1976,12,155.2862781954887
1977,1,171.29003759398498
1977,2,127.01748120300749
1977,3,105.29793233082708
1977,4,63.991917293233065
1977,5,33.63327067669172
1977,6,22.564097744360907
1977,7,24.43308270676692
1977,8,37.150751879699236
1977,9,64.37669172932331
1977,10,91.64624060150376
1977,11,118.0956766917293
1977,12,149.73045112781955
1978,1,162.4426691729323
1978,2,130.7971804511278
1978,3,101.6048872180451
1978,4,58.606015037594005
1978,5,30.260338345864668
1978,6,21.852067669172932
1978,7,32.53327067669172
1978,8,35.551879699248126
1978,9,60.24097744360902
1978,10,90.90639097744359
1978,11,118.46146616541353
1978,12,157.77067669172936
1979,1,168.61090225563905
1979,2,125.17706766917293
1979,3,102.39981203007521
1979,4,60.00601503759399
1979,5,31.29943609022555
1979,6,17.136842105263156
1979,7,23.284586466165415
1979,8,38.81992481203008
1979,9,55.043984962406014
1979,10,91.19887218045113
1979,11,111.58759398496241
1979,12,146.51240601503756
1980,1,179.121992481203
1980,2,113.42293233082704
1980,3,105.36033834586468
1980,4,53.961654135338335
1980,5,36.44078947368421
1980,6,21.724812030075185
1980,7,25.159774436090217
1980,8,41.76672932330826
1980,9,65.23214285714286
1980,10,97.5907894736842
1980,11,118.815977443609
1980,12,151.62819548872184
1981,1,154.58646616541355
1981,2,129.43721804511281
1981,3,101.53477443609025
1981,4,56.577443609022545
1981,5,38.641165413533834
1981,6,20.550939849624058
1981,7,28.044172932330827
1981,8,38.59116541353384
1981,9,63.77293233082707
1981,10,97.09962406015036
1981,11,123.11390977443608
1981,12,158.56447368421053
1982,1,172.2421052631579
1982,2,122.26766917293233
1982,3,101.79567669172933
1982,4,59.0001879699248
1982,5,33.79003759398496
1982,6,20.524812030075186
1982,7,27.023684210526312
1982,8,40.222368421052636
1982,9,59.019172932330825
1982,10,89.02387218045112
1982,11,116.22312030075187
1982,12,163.70375939849623
1983,1,157.60808270676694
1983,2,131.2584586466165
1983,3,100.04736842105261
1983,4,59.86898496240602
1983,5,28.963533834586464
1983,6,16.754887218045116
1983,7,22.71672932330827
1983,8,40.45864661654136
1983,9,59.34323308270675
1983,10,99.65056390977445
1983,11,134.88515037593982
1983,12,163.34567669172932
1984,1,170.2204887218045
1984,2,125.3575187969925
1984,3,97.88233082706768
1984,4,58.509022556390974
1984,5,30.991917293233083
1984,6,15.553571428571425
1984,7,24.755639097744364
1984,8,35.251503759398496
1984,9,59.40996240601504
1984,10,82.17725563909775
1984,11,111.73214285714285
1984,12,147.67932330827068
1985,1,160.16466165413533
1985,2,128.59924812030073
1985,3,102.78571428571429
1985,4,56.29642857142856
1985,5,31.68157894736842
1985,6,25.5657894736842
1985,7,24.72518796992481
1985,8,36.74812030075187
1985,9,63.499248120300756
1985,10,87.78759398496238
1985,11,125.94454887218046
1985,12,160.40187969924807
1986,1,168.73853383458646
1986,2,124.70563909774432
1986,3,100.59530075187968
1986,4,54.74774436090226
1986,5,34.872368421052634
1986,6,21.207894736842103
1986,7,24.024624060150376
1986,8,38.139849624060155
1986,9,60.73214285714286
1986,10,94.62725563909777
1986,11,116.05921052631578
1986,12,155.78289473684208
1987,1,175.2734962406015
1987,2,133.19718045112782
1987,3,106.42725563909772
1987,4,58.88571428571428
1987,5,30.24116541353384
1987,6,19.053759398496243
1987,7,29.134962406015035
1987,8,36.21071428571428
1987,9,59.33214285714285
1987,10,90.46842105263157
1987,11,126.18646616541353
1987,12,152.60263157894732
1988,1,165.3533834586466
1988,2,130.0505639097744
1988,3,95.30582706766916
1988,4,59.86597744360902
1988,5,28.644924812030077
1988,6,22.361278195488723
1988,7,24.791165413533836
1988,8,35.97218045112782
1988,9,57.85
1988,10,95.1817669172932
1988,11,132.46898496240598
1988,12,155.443984962406
1989,1,169.7142857142857
1989,2,131.72387218045114
1989,3,101.10413533834587
1989,4,61.74154135338344
1989,5,28.391165413533834
1989,6,21.172932330827066
1989,7,27.560150375939852
1989,8,36.77800751879699
1989,9,64.0721804511278
1989,10,99.90845864661652
1989,11,128.49548872180446
1989,12,149.6156015037594
1990,1,173.16973684210527
1990,2,117.7701127819549
1990,3,100.87687969924812
1990,4,57.04680451127819
1990,5,30.032330827067668
1990,6,19.51954887218045
1990,7,23.045300751879697
1990,8,41.151127819548876
1990,9,59.852819548872176
1990,10,94.15958646616541
1990,11,124.6035714285714
1990,12,151.07105263157897
1991,1,165.82086466165413
1991,2,130.90864661654138
1991,3,101.56372180451129
1991,4,56.17556390977443
1991,5,33.68251879699248
1991,6,19.576127819548873
1991,7,23.811278195488722
1991,8,38.483834586466166
1991,9,59.99248120300753
1991,10,94.17932330827067
1991,11,118.69924812030072
1991,12,129.94981203007518
1992,1,168.2110902255639
1992,2,125.18665413533836
1992,3,103.30394736842105
1992,4,54.45714285714285
1992,5,33.04154135338345
1992,6,18.840789473684207
1992,7,21.647556390977442
1992,8,36.45075187969925
1992,9,62.91259398496242
1992,10,94.19999999999999
1992,11,121.27180451127816
1992,12,142.57274436090225
1993,1,165.83721804511282
1993,2,136.5169172932331
1993,3,103.3627819548872
1993,4,61.32969924812029
1993,5,33.26616541353384
1993,6,24.39360902255639
1993,7,23.623496240601504
1993,8,42.042481203007526
1993,9,62.94135338345866
1993,10,93.1421052631579
1993,11,123.39172932330828
1993,12,156.61503759398494
1994,1,170.89586466165414
1994,2,121.08345864661652
1994,3,103.92687969924812
1994,4,58.99943609022555
1994,5,31.06090225563909
1994,6,23.133646616541355
1994,7,24.94248120300752
1994,8,37.01015037593984
1994,9,60.61033834586466
1994,10,86.78007518796991
1994,11,118.75601503759397
1994,12,149.31278195488724
1995,1,162.76184210526313
1995,2,123.75263157894736
1995,3,101.6563909774436
1995,4,63.408082706766905
1995,5,31.022368421052626
1995,6,22.73289473684211
1995,7,23.316729323308266
1995,8,35.91221804511277
1995,9,62.430827067669185
1995,10,92.19887218045113
1995,11,128.44718045112782
1995,12,161.3436090225564
1996,1,170.29586466165415
1996,2,127.89003759398497
1996,3,104.03609022556391
1996,4,56.677631578947356
1996,5,30.753195488721804
1996,6,17.847932330827067
1996,7,24.9390977443609
1996,8,41.01315789473684
1996,9,67.09172932330827
1996,10,94.74172932330828
1996,11,131.668984962406
1996,12,148.30413533834584
1997,1,163.643984962406
1997,2,130.07913533834585
1997,3,102.00526315789477
1997,4,66.31898496240602
1997,5,33.52161654135338
1997,6,22.73364661654135
1997,7,25.23157894736842
1997,8,38.249436090225565
1997,9,61.63421052631578
1997,10,85.8266917293233
1997,11,113.76522556390978
1997,12,147.94154135338349
1998,1,170.1971804511278
1998,2,118.60169172932329
1998,3,100.65394736842104
1998,4,56.626127819548884
1998,5,32.811278195488725
1998,6,20.021240601503763
1998,7,23.688721804511275
1998,8,37.86240601503759
1998,9,60.739285714285714
1998,10,107.42086466165414
1998,11,130.3546992481203
1998,12,161.74661654135335
1999,1,171.20921052631581
1999,2,129.53703007518797
1999,3,97.05601503759398
1999,4,59.41936090225563
1999,5,32.21973684210526
1999,6,21.442669172932327
1999,7,22.662781954887212
1999,8,40.66203007518797
1999,9,60.05169172932331
1999,10,93.39887218045112
1999,11,126.05601503759402
1999,12,154.44285714285712
2000,1,170.11597744360904
2000,2,117.10582706766911
2000,3,101.05733082706764
2000,4,57.77932330827066
2000,5,28.082706766917283
2000,6,26.60244360902255
2000,7,22.616729323308274
2000,8,38.69154135338346
2000,9,58.903195488721806
2000,10,94.22763157894735
2000,11,122.38063909774438
2000,12,159.44906015037594
2001,1,162.82048872180448
2001,2,132.39078947368424
2001,3,101.67142857142856
2001,4,58.08609022556391
2001,5,30.74078947368421
2001,6,20.365413533834584
2001,7,31.13496240601503
2001,8,39.76917293233083
2001,9,59.46334586466165
2001,10,96.1392857142857
2001,11,121.13251879699249
2001,12,169.65169172932335
2002,1,166.40225563909772
2002,2,124.2357142857143
2002,3,93.85902255639097
2002,4,56.63120300751879
2002,5,29.81484962406015
2002,6,18.94755639097744
2002,7,24.350939849624066
2002,8,36.767105263157895
2002,9,60.47424812030074
2002,10,88.52951127819549
2002,11,118.26522556390978
2002,12,147.15169172932332
2003,1,170.89642857142857
2003,2,132.3971804511278
2003,3,106.171992481203
2003,4,58.18815789473685
2003,5,29.780827067669176
2003,6,26.552819548872176
2003,7,24.13458646616541
2003,8,39.6672932330827
2003,9,64.16785714285714
2003,10,101.40206766917294
2003,11,125.95526315789473
2003,12,152.07124060150377
2004,1,171.64718045112784
2004,2,125.84172932330824
2004,3,104.5607142857143
2004,4,56.56597744360902
2004,5,28.271616541353378
2004,6,21.851127819548864
2004,7,27.417293233082706
2004,8,38.79041353383458
2004,9,64.71541353383458
2004,10,84.91917293233081
2004,11,110.55169172932331
2004,12,152.76992481203004
2005,1,171.83815789473684
2005,2,126.36804511278193
2005,3,101.69530075187973
2005,4,61.310526315789474
2005,5,31.259398496240593
2005,6,20.75451127819549
2005,7,26.793796992481205
2005,8,36.717293233082714
2005,9,61.048684210526325
2005,10,91.60845864661653
2005,11,121.31804511278197
2005,12,150.2770676691729
2006,1,169.3396616541353
2006,2,125.58515037593985
2006,3,104.38853383458645
2006,4,61.29135338345864
2006,5,30.471992481203007
2006,6,22.274624060150376
2006,7,27.1828947368421
2006,8,41.80958646616542
2006,9,64.03421052631579
2006,10,88.96766917293233
2006,11,127.39266917293233
2006,12,149.43496240601505
2007,1,168.51296992481204
2007,2,120.4513157894737
2007,3,100.77575187969924
2007,4,60.378007518796984
2007,5,28.522180451127824
2007,6,19.01635338345865
2007,7,23.114285714285717
2007,8,33.966729323308265
2007,9,62.63439849624061
2007,10,92.26090225563908
2007,11,128.33684210526312
2007,12,151.9082706766917
2008,1,170.65601503759402
2008,2,121.41616541353386
2008,3,103.2357142857143
2008,4,61.88646616541353
2008,5,31.671992481203013
2008,6,19.74172932330827
2008,7,27.724812030075185
2008,8,38.62763157894736
2008,9,66.83082706766916
2008,10,99.43966165413532
2008,11,133.05432330827068
2008,12,156.4257518796992
2009,1,179.6114661654135
2009,2,133.79962406015036
2009,3,114.54003759398498
2009,4,67.52819548872179
2009,5,31.642481203007517
2009,6,22.0906015037594
2009,7,25.256015037593983
2009,8,37.72875939849623
2009,9,62.590789473684225
2009,10,91.42763157894737
2009,11,110.18101503759395
2009,12,144.61296992481203
2010,1,175.23853383458646
2010,2,123.27067669172932
2010,3,108.7627819548872
2010,4,61.87086466165412
2010,5,29.86992481203007
2010,6,22.91578947368421
2010,7,25.825187969924812
2010,8,37.512218045112775
2010,9,64.09285714285714
2010,10,93.53721804511277
2010,11,122.50319548872179
2010,12,147.15
2011,1,163.69285714285712
2011,2,122.62124060150373
2011,3,100.14492481203007
2011,4,65.41973684210527
2011,5,30.49116541353384
2011,6,22.32443609022557
2011,7,25.22312030075188
2011,8,35.77932330827068
2011,9,66.87424812030075
2011,10,95.71954887218044
2011,11,123.97387218045111
2011,12,163.1860902255639
2012,1,170.26466165413535
2012,2,122.19849624060149
2012,3,108.90939849624058
2012,4,58.368984962406
2012,5,32.25375939849624
2012,6,22.83364661654136
2012,7,25.063157894736843
2012,8,37.42443609022556
2012,9,63.775375939849624
2012,10,88.9187969924812
2012,11,127.51353383458648
2012,12,140.5353383458647
2013,1,165.64680451127816
2013,2,122.18815789473683
2013,3,98.47575187969925
2013,4,61.52781954887219
2013,5,32.521616541353374
2013,6,22.940413533834583
2013,7,25.450939849624064
2013,8,39.27443609022558
2013,9,57.232894736842105
2013,10,101.86879699248118
2013,11,128.88515037593984
2013,12,170.2082706766917
2014,1,177.5163533834586
2014,2,120.25526315789473
2014,3,103.37857142857143
2014,4,57.509022556390974
2014,5,28.963533834586464
2014,6,22.063345864661656
2014,7,26.48872180451128
2014,8,42.60281954887219
2014,9,58.39379699248119
2014,10,101.88383458646616
2014,11,125.37687969924812
2014,12,156.38327067669172
2015,1,183.59680451127826
2015,2,131.73552631578946
2015,3,109.86541353383457
2015,4,61.10827067669174
2015,5,31.080827067669162
2015,6,22.824812030075186
2015,7,22.34454887218045
2015,8,36.60281954887218
2015,9,55.999624060150374
2015,10,83.83966165413534
2015,11,117.1857142857143
2015,12,158.63120300751882
2016,1,157.71766917293235
2016,2,135.47875939849624
2016,3,112.60676691729326
2016,4,52.15394736842104
2016,5,27.67763157894737
2016,6,18.10808270676692
2016,7,22.465413533834585
2016,8,44.03627819548873
2016,9,71.10563909774434
2016,10,86.99135338345864
2016,11,131.1377819548872
2016,12,157.04454887218046
2017,1,186.67048872180453
2017,2,131.3577067669173
2017,3,108.01409774436088
2017,4,58.57800751879699
2017,5,30.71052631578947
2017,6,23.73458646616541
2017,7,23.975939849624055
2017,8,36.703759398496246
2017,9,62.26296992481201
2017,10,88.23853383458646
2017,11,123.74793233082708
2017,12,154.76992481203004
2018,1,158.6546992481203
2018,2,128.3295112781955
2018,3,107.6859022556391
2018,4,59.92462406015037
2018,5,29.82218045112781
2018,6,19.396428571428572
2018,7,19.20169172932331
2018,8,35.50733082706766
2018,9,61.97030075187969
2018,10,79.28007518796993
2018,11,112.42575187969925
2018,12,146.47312030075187
2019,1,161.1293233082707
2019,2,133.86221804511277
2019,3,116.80394736842105
2019,4,65.06635338345865
2019,5,34.18778195488721
2019,6,23.631203007518796
2019,7,24.183458646616536
2019,8,39.10244360902255
2019,9,62.903007518797
2019,10,87.75469924812029
2019,11,131.93703007518795
2019,12,168.23834586466162
2020,1,178.3644736842105
2020,2,137.41522556390976
2020,3,116.06879699248121
2020,4,72.47161654135338
2020,5,36.31146616541353
2020,6,22.26033834586466
2020,7,23.617105263157896
2020,8,37.05751879699248
2020,9,61.83007518796991
2020,10,101.19736842105264
2020,11,128.77067669172934
2020,12,156.615977443609
2021,1,168.94248120300753
2021,2,118.95902255639099
2021,3,101.84172932330824
2021,4,60.784586466165415
2021,5,32.614285714285714
2021,6,22.28345864661654
2021,7,27.078383458646613
2021,8,38.008834586466165
2021,9,61.58251879699247
2021,10,97.46503759398495
2021,11,127.09135338345864
2021,12,158.8078947368421
2022,1,163.2966165413534
2022,2,136.07518796992483
2022,3,115.90018796992481
2022,4,61.80300751879699
2022,5,32.18327067669173
2022,6,18.93703007518797
2022,7,19.67725563909774
2022,8,36.9421052631579
2022,9,61.28345864661654
2022,10,91.825
2022,11,129.35281954887216
